instance_name,time_seconds,objective_value,jain_fairness,num_vehicles,algorithm,instance_size
instance2_nreq50_nveh2_gamma41,0.000854,2826.159937,0.996725,2,deterministic,50
instance6_nreq50_nveh2_gamma43,0.000812,3182.009193,0.99969,2,deterministic,50
instance5_nreq50_nveh2_gamma47,0.000821,3797.106119,0.996184,2,deterministic,50
instance29_nreq50_nveh2_gamma45,0.000813,3454.133165,0.992111,2,deterministic,50
instance26_nreq50_nveh2_gamma50,0.0008,4037.08612,0.996903,2,deterministic,50
instance11_nreq50_nveh2_gamma45,0.000822,3212.052845,0.996869,2,deterministic,50
instance18_nreq50_nveh2_gamma43,0.000755,2919.003794,0.999872,2,deterministic,50
instance15_nreq50_nveh2_gamma48,0.00075,3703.005315,0.999877,2,deterministic,50
instance4_nreq50_nveh2_gamma46,0.000799,3311.175033,0.99034,2,deterministic,50
instance8_nreq50_nveh2_gamma45,0.000822,3320.221605,0.997261,2,deterministic,50
instance17_nreq50_nveh2_gamma45,0.000798,3507.063339,0.998731,2,deterministic,50
instance20_nreq50_nveh2_gamma44,0.000781,3165.108395,0.997729,2,deterministic,50
instance9_nreq50_nveh2_gamma46,0.000738,3497.247654,0.992153,2,deterministic,50
instance12_nreq50_nveh2_gamma46,0.000815,3408.092286,0.998067,2,deterministic,50
instance1_nreq50_nveh2_gamma50,0.000768,4111.006661,0.999834,2,deterministic,50
instance21_nreq50_nveh2_gamma44,0.000743,3221.075282,0.997749,2,deterministic,50
instance19_nreq50_nveh2_gamma43,0.000816,3256.221256,0.99147,2,deterministic,50
instance30_nreq50_nveh2_gamma42,0.000824,3024.142855,0.997138,2,deterministic,50
instance23_nreq50_nveh2_gamma42,0.000773,2915.194599,0.994489,2,deterministic,50
instance25_nreq50_nveh2_gamma45,0.000819,3455.430044,0.984536,2,deterministic,50
instance27_nreq50_nveh2_gamma41,0.000752,2841.573681,0.990037,2,deterministic,50
instance14_nreq50_nveh2_gamma45,0.000797,3358.357153,0.994132,2,deterministic,50
instance28_nreq50_nveh2_gamma44,0.000763,3297.068632,0.998785,2,deterministic,50
instance13_nreq50_nveh2_gamma47,0.000777,3521.373608,0.994367,2,deterministic,50
instance7_nreq50_nveh2_gamma41,0.00112,3052.009979,0.999732,2,deterministic,50
instance10_nreq50_nveh2_gamma48,0.000785,3833.170228,0.997203,2,deterministic,50
instance24_nreq50_nveh2_gamma45,0.000804,3290.048704,0.996882,2,deterministic,50
instance22_nreq50_nveh2_gamma43,0.00081,3262.426154,0.99488,2,deterministic,50
instance16_nreq50_nveh2_gamma43,0.000743,3173.014808,0.999631,2,deterministic,50
instance3_nreq50_nveh2_gamma49,0.000815,3035.000056,0.999995,2,deterministic,50
instance2_nreq50_nveh2_gamma41,0.000128,3062.901737,0.981533,2,random,50
instance6_nreq50_nveh2_gamma43,7.4e-05,3323.095735,0.996776,2,random,50
instance5_nreq50_nveh2_gamma47,6.7e-05,3797.59411,0.978637,2,random,50
instance29_nreq50_nveh2_gamma45,6.2e-05,3425.002419,0.999857,2,random,50
instance26_nreq50_nveh2_gamma50,6.7e-05,4039.646276,0.976761,2,random,50
instance11_nreq50_nveh2_gamma45,6.8e-05,3207.021678,0.998716,2,random,50
instance18_nreq50_nveh2_gamma43,7.6e-05,3075.360679,0.987852,2,random,50
instance15_nreq50_nveh2_gamma48,8.3e-05,3514.356852,0.945645,2,random,50
instance4_nreq50_nveh2_gamma46,5.2e-05,3283.55027,0.969632,2,random,50
instance8_nreq50_nveh2_gamma45,7.3e-05,3486.049207,0.999392,2,random,50
instance17_nreq50_nveh2_gamma45,6.5e-05,3357.367249,0.992643,2,random,50
instance20_nreq50_nveh2_gamma44,7.2e-05,2929.149677,0.975913,2,random,50
instance9_nreq50_nveh2_gamma46,8e-05,3773.464226,0.985291,2,random,50
instance12_nreq50_nveh2_gamma46,0.000114,3414.000803,0.999983,2,random,50
instance1_nreq50_nveh2_gamma50,9.3e-05,4316.007744,0.999807,2,random,50
instance21_nreq50_nveh2_gamma44,7.7e-05,3166.32163,0.990382,2,random,50
instance19_nreq50_nveh2_gamma43,4.8e-05,3141.186093,0.992826,2,random,50
instance30_nreq50_nveh2_gamma42,7.8e-05,3065.879221,0.962355,2,random,50
instance23_nreq50_nveh2_gamma42,5.8e-05,2914.423302,0.959691,2,random,50
instance25_nreq50_nveh2_gamma45,5.2e-05,3359.003748,0.999865,2,random,50
instance27_nreq50_nveh2_gamma41,7e-05,2529.102888,0.998213,2,random,50
instance14_nreq50_nveh2_gamma45,7.8e-05,3256.577656,0.974077,2,random,50
instance28_nreq50_nveh2_gamma44,6.7e-05,3522.487072,0.973671,2,random,50
instance13_nreq50_nveh2_gamma47,5.7e-05,3769.019722,0.999703,2,random,50
instance7_nreq50_nveh2_gamma41,6.3e-05,3078.387891,0.98957,2,random,50
instance10_nreq50_nveh2_gamma48,7.4e-05,3898.56105,0.990781,2,random,50
instance24_nreq50_nveh2_gamma45,8.7e-05,3391.722914,0.953719,2,random,50
instance22_nreq50_nveh2_gamma43,6.8e-05,3296.004413,0.999947,2,random,50
instance16_nreq50_nveh2_gamma43,7e-05,3282.76885,0.955867,2,random,50
instance3_nreq50_nveh2_gamma49,8.7e-05,3277.922971,0.913091,2,random,50
instance2_nreq50_nveh2_gamma41,0.008834,458.967842,0.939221,2,local_search,50
instance6_nreq50_nveh2_gamma43,0.005215,292.088876,0.997007,2,local_search,50
instance5_nreq50_nveh2_gamma47,0.0049,283.017004,0.999389,2,local_search,50
instance29_nreq50_nveh2_gamma45,0.005347,291.057412,0.996599,2,local_search,50
instance26_nreq50_nveh2_gamma50,0.004723,251.021613,0.999223,2,local_search,50
instance11_nreq50_nveh2_gamma45,0.005026,219.153797,0.990889,2,local_search,50
instance18_nreq50_nveh2_gamma43,0.005182,297.078726,0.896304,2,local_search,50
instance15_nreq50_nveh2_gamma48,0.006297,343.062196,0.998566,2,local_search,50
instance4_nreq50_nveh2_gamma46,0.006798,288.070506,0.996109,2,local_search,50
instance8_nreq50_nveh2_gamma45,0.006083,473.130327,0.998389,2,local_search,50
instance17_nreq50_nveh2_gamma45,0.004459,259.134168,0.897152,2,local_search,50
instance20_nreq50_nveh2_gamma44,0.005306,272.164586,0.996552,2,local_search,50
instance9_nreq50_nveh2_gamma46,0.00622,346.645578,0.979544,2,local_search,50
instance12_nreq50_nveh2_gamma46,0.00514,421.835769,0.961538,2,local_search,50
instance1_nreq50_nveh2_gamma50,0.004782,347.146258,0.996351,2,local_search,50
instance21_nreq50_nveh2_gamma44,0.005106,228.20713,0.993806,2,local_search,50
instance19_nreq50_nveh2_gamma43,0.006401,453.001138,0.999956,2,local_search,50
instance30_nreq50_nveh2_gamma42,0.004918,272.096974,0.998057,2,local_search,50
instance23_nreq50_nveh2_gamma42,0.004775,272.424376,0.987981,2,local_search,50
instance25_nreq50_nveh2_gamma45,0.005619,409.103518,0.996278,2,local_search,50
instance27_nreq50_nveh2_gamma41,0.006197,405.028421,0.999506,2,local_search,50
instance14_nreq50_nveh2_gamma45,0.004533,347.024757,0.999593,2,local_search,50
instance28_nreq50_nveh2_gamma44,0.004988,404.309732,0.994516,2,local_search,50
instance13_nreq50_nveh2_gamma47,0.00507,410.688822,0.989615,2,local_search,50
instance7_nreq50_nveh2_gamma41,0.006332,435.065445,0.944462,2,local_search,50
instance10_nreq50_nveh2_gamma48,0.005279,335.233729,0.963297,2,local_search,50
instance24_nreq50_nveh2_gamma45,0.004615,299.145569,0.990681,2,local_search,50
instance22_nreq50_nveh2_gamma43,0.004963,427.51396,0.969799,2,local_search,50
instance16_nreq50_nveh2_gamma43,0.006385,334.41107,0.989744,2,local_search,50
instance3_nreq50_nveh2_gamma49,0.005105,209.054423,0.994875,2,local_search,50
instance2_nreq50_nveh2_gamma41,2.668753,1733.415,0.5,2,beam_search,50
instance6_nreq50_nveh2_gamma43,2.776512,2090.845,0.5,2,beam_search,50
instance5_nreq50_nveh2_gamma47,2.841756,2609.905,0.5,2,beam_search,50
instance29_nreq50_nveh2_gamma45,2.798611,2306.44,0.5,2,beam_search,50
instance26_nreq50_nveh2_gamma50,2.877856,2737.905,0.5,2,beam_search,50
instance11_nreq50_nveh2_gamma45,2.74064,2026.44,0.5,2,beam_search,50
instance18_nreq50_nveh2_gamma43,2.811503,1833.845,0.5,2,beam_search,50
instance15_nreq50_nveh2_gamma48,3.006499,2437.68,0.5,2,beam_search,50
instance4_nreq50_nveh2_gamma46,2.925474,1964.06,0.5,2,beam_search,50
instance8_nreq50_nveh2_gamma45,3.002207,2189.45,0.5,2,beam_search,50
instance17_nreq50_nveh2_gamma45,2.889627,2206.96,0.5,2,beam_search,50
instance20_nreq50_nveh2_gamma44,2.859412,1879.865,0.5,2,beam_search,50
instance9_nreq50_nveh2_gamma46,2.911231,2301.78,0.5,2,beam_search,50
instance12_nreq50_nveh2_gamma46,3.050933,2174.865,0.5,2,beam_search,50
instance1_nreq50_nveh2_gamma50,2.981058,2815.04,0.5,2,beam_search,50
instance21_nreq50_nveh2_gamma44,2.970908,1979.72,0.5,2,beam_search,50
instance19_nreq50_nveh2_gamma43,3.035758,1974.97,0.5,2,beam_search,50
instance30_nreq50_nveh2_gamma42,2.98244,1802.96,0.5,2,beam_search,50
instance23_nreq50_nveh2_gamma42,2.992928,1792.655,0.5,2,beam_search,50
instance25_nreq50_nveh2_gamma45,3.317813,2187.905,0.5,2,beam_search,50
instance27_nreq50_nveh2_gamma41,3.086748,1688.79,0.5,2,beam_search,50
instance14_nreq50_nveh2_gamma45,3.222818,1958.43,0.5,2,beam_search,50
instance28_nreq50_nveh2_gamma44,2.93984,2209.24,0.5,2,beam_search,50
instance13_nreq50_nveh2_gamma47,3.000543,2265.165,0.5,2,beam_search,50
instance7_nreq50_nveh2_gamma41,2.834121,1835.595,0.5,2,beam_search,50
instance10_nreq50_nveh2_gamma48,2.966106,2400.43,0.5,2,beam_search,50
instance24_nreq50_nveh2_gamma45,2.894634,2223.81,0.5,2,beam_search,50
instance22_nreq50_nveh2_gamma43,2.888715,2022.62,0.5,2,beam_search,50
instance16_nreq50_nveh2_gamma43,2.830216,1996.04,0.5,2,beam_search,50
instance3_nreq50_nveh2_gamma49,2.912771,2233.31,0.5,2,beam_search,50
instance2_nreq50_nveh2_gamma41,0.05214,2922.415,0.5,2,simulated_annealing,50
instance6_nreq50_nveh2_gamma43,0.05283,3401.845,0.5,2,simulated_annealing,50
instance5_nreq50_nveh2_gamma47,0.059982,3739.905,0.5,2,simulated_annealing,50
instance29_nreq50_nveh2_gamma45,0.052483,3598.44,0.5,2,simulated_annealing,50
instance26_nreq50_nveh2_gamma50,0.056871,3921.905,0.5,2,simulated_annealing,50
instance11_nreq50_nveh2_gamma45,0.056551,3377.44,0.5,2,simulated_annealing,50
instance18_nreq50_nveh2_gamma43,0.050856,3008.845,0.5,2,simulated_annealing,50
instance15_nreq50_nveh2_gamma48,0.058794,3663.68,0.5,2,simulated_annealing,50
instance4_nreq50_nveh2_gamma46,0.057184,3369.06,0.5,2,simulated_annealing,50
instance8_nreq50_nveh2_gamma45,0.051079,3568.45,0.5,2,simulated_annealing,50
instance17_nreq50_nveh2_gamma45,0.055872,3569.96,0.5,2,simulated_annealing,50
instance20_nreq50_nveh2_gamma44,0.050219,2850.865,0.5,2,simulated_annealing,50
instance9_nreq50_nveh2_gamma46,0.054518,3454.78,0.5,2,simulated_annealing,50
instance12_nreq50_nveh2_gamma46,0.056762,3291.865,0.5,2,simulated_annealing,50
instance1_nreq50_nveh2_gamma50,0.061172,3867.04,0.5,2,simulated_annealing,50
instance21_nreq50_nveh2_gamma44,0.050677,3390.72,0.5,2,simulated_annealing,50
instance19_nreq50_nveh2_gamma43,0.053312,3247.97,0.5,2,simulated_annealing,50
instance30_nreq50_nveh2_gamma42,0.054447,3079.96,0.5,2,simulated_annealing,50
instance23_nreq50_nveh2_gamma42,0.056161,2972.655,0.5,2,simulated_annealing,50
instance25_nreq50_nveh2_gamma45,0.059497,3360.905,0.5,2,simulated_annealing,50
instance27_nreq50_nveh2_gamma41,0.048337,2658.79,0.5,2,simulated_annealing,50
instance14_nreq50_nveh2_gamma45,0.053548,3348.43,0.5,2,simulated_annealing,50
instance28_nreq50_nveh2_gamma44,0.05492,3547.24,0.5,2,simulated_annealing,50
instance13_nreq50_nveh2_gamma47,0.062651,3726.165,0.5,2,simulated_annealing,50
instance7_nreq50_nveh2_gamma41,0.05149,3067.595,0.5,2,simulated_annealing,50
instance10_nreq50_nveh2_gamma48,0.057666,3565.43,0.5,2,simulated_annealing,50
instance24_nreq50_nveh2_gamma45,0.052978,3380.81,0.5,2,simulated_annealing,50
instance22_nreq50_nveh2_gamma43,0.054521,3268.62,0.5,2,simulated_annealing,50
instance16_nreq50_nveh2_gamma43,0.05073,3290.04,0.5,2,simulated_annealing,50
instance3_nreq50_nveh2_gamma49,0.056251,3181.31,0.5,2,simulated_annealing,50
instance9_nreq100_nveh2_gamma91,0.003017,9500.039672,0.999169,2,deterministic,100
instance26_nreq100_nveh2_gamma89,0.002961,9641.011501,0.999804,2,deterministic,100
instance14_nreq100_nveh2_gamma94,0.002848,9889.030358,0.999619,2,deterministic,100
instance4_nreq100_nveh2_gamma93,0.002963,9723.395497,0.993259,2,deterministic,100
instance12_nreq100_nveh2_gamma91,0.002763,9698.423644,0.99187,2,deterministic,100
instance22_nreq100_nveh2_gamma89,0.002828,9926.151277,0.997469,2,deterministic,100
instance11_nreq100_nveh2_gamma88,0.002904,9441.020948,0.999529,2,deterministic,100
instance18_nreq100_nveh2_gamma87,0.002763,9266.173966,0.995073,2,deterministic,100
instance10_nreq100_nveh2_gamma98,0.003173,10237.189517,0.995517,2,deterministic,100
instance28_nreq100_nveh2_gamma93,0.002812,9234.159806,0.994254,2,deterministic,100
instance5_nreq100_nveh2_gamma88,0.00277,8756.000469,0.999967,2,deterministic,100
instance30_nreq100_nveh2_gamma89,0.002981,9009.002065,0.999893,2,deterministic,100
instance13_nreq100_nveh2_gamma89,0.002744,9781.060971,0.997466,2,deterministic,100
instance24_nreq100_nveh2_gamma84,0.00296,8490.129951,0.99632,2,deterministic,100
instance20_nreq100_nveh2_gamma86,0.002942,9183.067407,0.998405,2,deterministic,100
instance2_nreq100_nveh2_gamma92,0.002774,9497.003141,0.999858,2,deterministic,100
instance21_nreq100_nveh2_gamma88,0.003808,10017.027436,0.999565,2,deterministic,100
instance23_nreq100_nveh2_gamma92,0.002872,9849.031735,0.99932,2,deterministic,100
instance16_nreq100_nveh2_gamma90,0.003221,9973.116988,0.996687,2,deterministic,100
instance17_nreq100_nveh2_gamma86,0.002818,8809.008332,0.999852,2,deterministic,100
instance19_nreq100_nveh2_gamma86,0.002805,9421.021963,0.999639,2,deterministic,100
instance3_nreq100_nveh2_gamma93,0.003033,9749.22557,0.994798,2,deterministic,100
instance15_nreq100_nveh2_gamma89,0.002801,8906.010408,0.99976,2,deterministic,100
instance7_nreq100_nveh2_gamma85,0.003011,8751.041328,0.998282,2,deterministic,100
instance8_nreq100_nveh2_gamma86,0.002854,9323.037329,0.99918,2,deterministic,100
instance27_nreq100_nveh2_gamma90,0.002775,9566.000862,0.999986,2,deterministic,100
instance25_nreq100_nveh2_gamma93,0.003117,10054.022599,0.999504,2,deterministic,100
instance29_nreq100_nveh2_gamma92,0.002856,9382.860868,0.978521,2,deterministic,100
instance6_nreq100_nveh2_gamma89,0.002795,9448.071342,0.998737,2,deterministic,100
instance1_nreq100_nveh2_gamma89,0.002859,9841.042076,0.999138,2,deterministic,100
instance9_nreq100_nveh2_gamma91,0.000145,10172.207408,0.995655,2,random,100
instance26_nreq100_nveh2_gamma89,0.000138,9690.095858,0.998366,2,random,100
instance14_nreq100_nveh2_gamma94,0.000138,10105.139466,0.998251,2,random,100
instance4_nreq100_nveh2_gamma93,0.000131,10303.025065,0.999573,2,random,100
instance12_nreq100_nveh2_gamma91,0.000143,9910.01358,0.999739,2,random,100
instance22_nreq100_nveh2_gamma89,0.000128,9730.708909,0.988139,2,random,100
instance11_nreq100_nveh2_gamma88,0.000113,9144.535767,0.987947,2,random,100
instance18_nreq100_nveh2_gamma87,0.000125,9495.157223,0.995547,2,random,100
instance10_nreq100_nveh2_gamma98,0.000143,10057.018247,0.999568,2,random,100
instance28_nreq100_nveh2_gamma93,0.000162,9884.112527,0.995954,2,random,100
instance5_nreq100_nveh2_gamma88,0.000119,9474.091946,0.993606,2,random,100
instance30_nreq100_nveh2_gamma89,0.000122,8987.040842,0.997893,2,random,100
instance13_nreq100_nveh2_gamma89,0.000132,10128.176236,0.992675,2,random,100
instance24_nreq100_nveh2_gamma84,0.000147,8471.048758,0.998619,2,random,100
instance20_nreq100_nveh2_gamma86,0.000127,8966.798352,0.981113,2,random,100
instance2_nreq100_nveh2_gamma92,0.00013,9986.004873,0.99978,2,random,100
instance21_nreq100_nveh2_gamma88,0.000132,9827.054483,0.999136,2,random,100
instance23_nreq100_nveh2_gamma92,0.000129,10033.27381,0.994129,2,random,100
instance16_nreq100_nveh2_gamma90,0.000149,10243.388942,0.988985,2,random,100
instance17_nreq100_nveh2_gamma86,0.000134,9134.032154,0.999431,2,random,100
instance19_nreq100_nveh2_gamma86,0.000188,9618.039788,0.999346,2,random,100
instance3_nreq100_nveh2_gamma93,0.000242,9301.28307,0.970409,2,random,100
instance15_nreq100_nveh2_gamma89,0.000125,9426.424361,0.96715,2,random,100
instance7_nreq100_nveh2_gamma85,0.000158,8941.308508,0.987178,2,random,100
instance8_nreq100_nveh2_gamma86,0.000118,9450.884728,0.980577,2,random,100
instance27_nreq100_nveh2_gamma90,0.000159,9208.008064,0.999867,2,random,100
instance25_nreq100_nveh2_gamma93,0.000128,9929.097135,0.997868,2,random,100
instance29_nreq100_nveh2_gamma92,0.000207,9508.334306,0.991659,2,random,100
instance6_nreq100_nveh2_gamma89,0.000119,9302.625313,0.971223,2,random,100
instance1_nreq100_nveh2_gamma89,0.000125,10025.112153,0.997703,2,random,100
instance9_nreq100_nveh2_gamma91,0.017929,386.001281,0.999973,2,local_search,100
instance26_nreq100_nveh2_gamma89,0.019062,348.432797,0.992623,2,local_search,100
instance14_nreq100_nveh2_gamma94,0.01869,443.494593,0.993797,2,local_search,100
instance4_nreq100_nveh2_gamma93,0.017924,274.427078,0.890454,2,local_search,100
instance12_nreq100_nveh2_gamma91,0.018022,394.784228,0.90819,2,local_search,100
instance22_nreq100_nveh2_gamma89,0.018951,479.254898,0.979005,2,local_search,100
instance11_nreq100_nveh2_gamma88,0.019403,495.008887,0.9998,2,local_search,100
instance18_nreq100_nveh2_gamma87,0.019089,472.076545,0.997832,2,local_search,100
instance10_nreq100_nveh2_gamma98,0.018452,346.364047,0.96773,2,local_search,100
instance28_nreq100_nveh2_gamma93,0.017905,301.079433,0.925227,2,local_search,100
instance5_nreq100_nveh2_gamma88,0.018183,396.46016,0.968,2,local_search,100
instance30_nreq100_nveh2_gamma89,0.01951,460.093334,0.995184,2,local_search,100
instance13_nreq100_nveh2_gamma89,0.018159,379.060316,0.997493,2,local_search,100
instance24_nreq100_nveh2_gamma84,0.019244,459.765655,0.780072,2,local_search,100
instance20_nreq100_nveh2_gamma86,0.018005,343.985708,0.976681,2,local_search,100
instance2_nreq100_nveh2_gamma92,0.01911,480.201939,0.9909,2,local_search,100
instance21_nreq100_nveh2_gamma88,0.018116,491.088525,0.919294,2,local_search,100
instance23_nreq100_nveh2_gamma92,0.018419,458.199256,0.995728,2,local_search,100
instance16_nreq100_nveh2_gamma90,0.018409,438.010299,0.971388,2,local_search,100
instance17_nreq100_nveh2_gamma86,0.018889,526.546646,0.990321,2,local_search,100
instance19_nreq100_nveh2_gamma86,0.018143,432.254601,0.995817,2,local_search,100
